,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag,Station Name,Province,Current Station Operator,Latitude,Longitude,Elevation,Climate Identifier,WMO Identifier
0,2015-01-01,2015,1,1,,3.4,,-5.2,,-0.9,,18.9,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
1,2015-01-02,2015,1,2,,3.6,,0.1,,1.9,,16.1,,0.0,,3.8,,0.0,,3.8,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
2,2015-01-03,2015,1,3,,3.8,,0.5,,2.2,,15.8,,0.0,,2.8,,0.0,,2.8,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
3,2015-01-04,2015,1,4,,6.5,,1.7,,4.1,,13.9,,0.0,,38.0,,0.0,,38.0,,0.0,,5.0,,43,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
4,2015-01-05,2015,1,5,,9.2,,4.7,,7.0,,11.0,,0.0,,20.0,,0.0,,20.0,,0.0,,30.0,,33,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
5,2015-01-06,2015,1,6,,11.5,,3.4,,7.5,,10.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
6,2015-01-07,2015,1,7,,7.2,,3.7,,5.5,,12.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
7,2015-01-08,2015,1,8,,5.1,,3.3,,4.2,,13.8,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
8,2015-01-09,2015,1,9,,8.1,,2.0,,5.1,,12.9,,0.0,,1.2,,0.0,,1.2,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
9,2015-01-10,2015,1,10,,6.9,,5.5,,6.2,,11.8,,0.0,,3.2,,0.0,,3.2,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
10,2015-01-11,2015,1,11,,7.4,,5.8,,6.6,,11.4,,0.0,,1.4,,0.0,,1.4,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
11,2015-01-12,2015,1,12,,8.1,,1.8,,5.0,,13.0,,0.0,,0.0,T,0.0,,0.0,T,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
12,2015-01-13,2015,1,13,,5.2,,1.0,,3.1,,14.9,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
13,2015-01-14,2015,1,14,,4.4,,-2.1,,1.2,,16.8,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
14,2015-01-15,2015,1,15,,8.8,,-0.4,,4.2,,13.8,,0.0,,6.2,,0.0,,6.2,,0.0,,8.0,,43,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
15,2015-01-16,2015,1,16,,11.4,,6.7,,9.1,,8.9,,0.0,,2.8,,0.0,,2.8,,0.0,,15.0,,57,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
16,2015-01-17,2015,1,17,,9.2,,2.8,,6.0,,12.0,,0.0,,6.8,,0.0,,6.8,,0.0,,3.0,,35,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
17,2015-01-18,2015,1,18,,10.3,,6.5,,8.4,,9.6,,0.0,,16.8,,0.0,,16.8,,0.0,,19.0,,57,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
18,2015-01-19,2015,1,19,,10.1,,2.0,,6.1,,11.9,,0.0,,0.2,,0.0,,0.2,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
19,2015-01-20,2015,1,20,,8.5,,1.0,,4.8,,13.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
20,2015-01-21,2015,1,21,,6.6,,-1.4,,2.6,,15.4,,0.0,,0.6,,0.0,,0.6,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
21,2015-01-22,2015,1,22,,8.3,,5.1,,6.7,,11.3,,0.0,,10.8,,0.0,,10.8,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
22,2015-01-23,2015,1,23,,11.5,,8.0,,9.8,,8.2,,0.0,,31.6,,0.0,,31.6,,0.0,,11.0,,39,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
23,2015-01-24,2015,1,24,,12.0,,10.2,,11.1,,6.9,,0.0,,9.8,,0.0,,9.8,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
24,2015-01-25,2015,1,25,,14.1,,5.6,,9.9,,8.1,,0.0,,0.0,,0.0,,0.0,,0.0,,,,<31,,VANCOUVER INTL A,BRITISH COLUMBIA,49.19,-123.18,4.30,1108395,71892,YVR
